student_id,max_boost,reservation,rural,pre_boost_best,post_boost_best,uplift_magnitude,materially_helped
S00001,0.0995535663353281,OBC,0,0.3084069437870234,0.3609361057227302,0.052529161935706836,True
S00002,0.0983071018890909,SC,0,0.3491452980058177,0.362192183432759,0.013046885426941324,True
S00003,0.2467937847519435,OBC,1,0.3328865360554515,0.5022697614233724,0.16938322536792094,True
S00004,0.0982234046234791,OBC,0,0.3222338267860946,0.3608119279087434,0.03857810112264881,True
S00006,0.0985343279501956,SC,0,0.3236869045818589,0.3561107257601389,0.03242382117828002,True
S00011,0.2473771598571438,OBC,1,0.2529190077443051,0.4895160335645481,0.236597025820243,True
S00012,0.2379945709094974,SC,1,0.2592756626287112,0.4845837980937872,0.225308135465076,True
S00013,0.1556344060695237,OBC,1,0.2589834357223444,0.3367849089562009,0.0778014732338565,True
S00016,0.2472660424854059,SC,1,0.283411391237874,0.4831708587203029,0.1997594674824289,True
S00017,0.0989105824068701,SC,0,0.2438311859731549,0.342741768380025,0.09891058240687012,True
S00018,0.0996726022534786,OBC,0,0.3338603717840275,0.3608054343160475,0.026945062532020003,True
S00021,0.2477580296239783,OBC,1,0.2459027386175604,0.4930221136686369,0.2471193750510765,True
S00022,0.0986321900143856,OBC,0,0.2717185311144748,0.3377832101701138,0.06606467905563901,True
S00023,0.0988930293476686,OBC,0,0.2106877599194009,0.2747850368777479,0.06409727695834702,True
S00024,0.0996575939310391,OBC,0,0.2776351989607149,0.3570768966109804,0.07944169765026549,True
S00025,0.2499375344328391,OBC,1,0.2974510819597254,0.5108605591426845,0.21340947718295905,True
S00028,0.2497290773171481,ST,1,0.325041385015577,0.4854312562545714,0.1603898712389944,True
S00030,0.0988288847022726,ST,0,0.3195870109192676,0.3630751469861895,0.04348813606692187,True
S00031,0.2412119012311798,OBC,1,0.2619194919261511,0.4749414371560643,0.2130219452299132,True
S00039,0.2388296210313243,OBC,1,0.2993428950153184,0.4728082890325082,0.1734653940171898,True
S00043,0.0989783288898062,ST,0,0.2455321795214544,0.3436757412349905,0.09814356171353611,True
S00046,0.0993802872481124,ST,0,0.3571013818256445,0.3626537127405984,0.005552330914953885,False
